dir,x_pos,y_pos,prediction
rembrant_crop/random_crop_new/pic1,32,8,7
rembrant_crop/random_crop_new/pic1,44,68,7
rembrant_crop/random_crop_new/pic1,8,168,7
rembrant_crop/random_crop_new/pic1,148,16,7
rembrant_crop/random_crop_new/pic1,4,112,7
rembrant_crop/random_crop_new/pic1,24,80,7
rembrant_crop/random_crop_new/pic1,128,68,7
rembrant_crop/random_crop_new/pic1,20,164,7
rembrant_crop/random_crop_new/pic1,44,84,7
rembrant_crop/random_crop_new/pic1,56,120,7
rembrant_crop/random_crop_new/pic1,72,104,7
rembrant_crop/random_crop_new/pic1,84,24,7
rembrant_crop/random_crop_new/pic1,4,140,7
rembrant_crop/random_crop_new/pic1,168,92,7
rembrant_crop/random_crop_new/pic1,124,84,7
rembrant_crop/random_crop_new/pic1,112,88,7
rembrant_crop/random_crop_new/pic1,96,128,7
rembrant_crop/random_crop_new/pic1,128,84,7
rembrant_crop/random_crop_new/pic1,168,72,7
rembrant_crop/random_crop_new/pic1,80,32,7
rembrant_crop/random_crop_new/pic1,140,120,7
rembrant_crop/random_crop_new/pic1,108,56,7
rembrant_crop/random_crop_new/pic1,160,4,7
rembrant_crop/random_crop_new/pic1,60,64,7
rembrant_crop/random_crop_new/pic1,28,144,7
rembrant_crop/random_crop_new/pic1,148,100,7
rembrant_crop/random_crop_new/pic1,56,56,7
rembrant_crop/random_crop_new/pic1,48,72,7
rembrant_crop/random_crop_new/pic1,56,64,7
rembrant_crop/random_crop_new/pic1,164,140,7
rembrant_crop/random_crop_new/pic1,72,84,7
rembrant_crop/random_crop_new/pic1,84,4,7
rembrant_crop/random_crop_new/pic1,80,180,7
rembrant_crop/random_crop_new/pic1,4,104,7
rembrant_crop/random_crop_new/pic1,8,108,7
rembrant_crop/random_crop_new/pic1,120,104,7
rembrant_crop/random_crop_new/pic1,104,112,7
rembrant_crop/random_crop_new/pic1,24,104,7
rembrant_crop/random_crop_new/pic1,92,104,7
rembrant_crop/random_crop_new/pic1,144,160,7
rembrant_crop/random_crop_new/pic1,44,148,7
rembrant_crop/random_crop_new/pic1,144,4,7
rembrant_crop/random_crop_new/pic1,160,28,7
rembrant_crop/random_crop_new/pic1,44,132,7
rembrant_crop/random_crop_new/pic1,40,72,7
rembrant_crop/random_crop_new/pic1,80,60,7
rembrant_crop/random_crop_new/pic1,4,12,7
rembrant_crop/random_crop_new/pic1,60,40,7
rembrant_crop/random_crop_new/pic1,156,152,7
rembrant_crop/random_crop_new/pic1,116,56,7
rembrant_crop/random_crop_new/pic1,92,44,7
rembrant_crop/random_crop_new/pic1,16,52,7
rembrant_crop/random_crop_new/pic1,48,60,7
rembrant_crop/random_crop_new/pic1,28,148,7
rembrant_crop/random_crop_new/pic1,4,52,7
rembrant_crop/random_crop_new/pic1,116,24,7
rembrant_crop/random_crop_new/pic1,4,80,7
rembrant_crop/random_crop_new/pic1,176,136,7
rembrant_crop/random_crop_new/pic1,24,156,7
rembrant_crop/random_crop_new/pic1,88,140,7
rembrant_crop/random_crop_new/pic1,0,44,7
rembrant_crop/random_crop_new/pic1,168,164,7
rembrant_crop/random_crop_new/pic1,116,72,7
rembrant_crop/random_crop_new/pic1,152,28,7
rembrant_crop/random_crop_new/pic1,172,168,7
rembrant_crop/random_crop_new/pic1,124,60,7
rembrant_crop/random_crop_new/pic1,116,44,7
rembrant_crop/random_crop_new/pic1,48,96,7
rembrant_crop/random_crop_new/pic1,20,76,7
rembrant_crop/random_crop_new/pic1,48,76,7
rembrant_crop/random_crop_new/pic1,168,40,7
rembrant_crop/random_crop_new/pic1,104,156,7
rembrant_crop/random_crop_new/pic1,144,64,7
rembrant_crop/random_crop_new/pic1,24,44,7
rembrant_crop/random_crop_new/pic1,64,180,7
rembrant_crop/random_crop_new/pic1,36,120,7
rembrant_crop/random_crop_new/pic1,156,176,7
rembrant_crop/random_crop_new/pic1,56,128,7
rembrant_crop/random_crop_new/pic1,136,132,7
rembrant_crop/random_crop_new/pic1,136,164,7
rembrant_crop/random_crop_new/pic1,172,60,7
rembrant_crop/random_crop_new/pic1,36,36,7
rembrant_crop/random_crop_new/pic1,132,4,7
rembrant_crop/random_crop_new/pic1,40,168,7
rembrant_crop/random_crop_new/pic1,168,48,7
rembrant_crop/random_crop_new/pic1,84,84,7
rembrant_crop/random_crop_new/pic1,148,144,7
rembrant_crop/random_crop_new/pic1,176,88,7
rembrant_crop/random_crop_new/pic1,8,0,7
rembrant_crop/random_crop_new/pic1,148,160,7
rembrant_crop/random_crop_new/pic1,20,12,7
rembrant_crop/random_crop_new/pic1,72,136,7
rembrant_crop/random_crop_new/pic1,60,28,7
rembrant_crop/random_crop_new/pic1,128,76,7
rembrant_crop/random_crop_new/pic1,100,152,7
rembrant_crop/random_crop_new/pic1,168,112,7
rembrant_crop/random_crop_new/pic1,128,172,7
rembrant_crop/random_crop_new/pic1,92,36,7
rembrant_crop/random_crop_new/pic1,92,100,7
rembrant_crop/random_crop_new/pic1,36,100,7
rembrant_crop/random_crop_new/pic1,120,168,7
rembrant_crop/random_crop_new/pic1,136,108,7
rembrant_crop/random_crop_new/pic1,68,40,7
rembrant_crop/random_crop_new/pic1,104,172,7
rembrant_crop/random_crop_new/pic1,72,144,7
rembrant_crop/random_crop_new/pic1,120,24,7
rembrant_crop/random_crop_new/pic1,24,60,7
rembrant_crop/random_crop_new/pic1,100,16,7
rembrant_crop/random_crop_new/pic1,20,8,7
rembrant_crop/random_crop_new/pic1,64,36,7
rembrant_crop/random_crop_new/pic1,88,76,7
rembrant_crop/random_crop_new/pic1,128,116,7
rembrant_crop/random_crop_new/pic1,112,108,7
rembrant_crop/random_crop_new/pic1,128,136,7
rembrant_crop/random_crop_new/pic1,64,172,7
rembrant_crop/random_crop_new/pic1,52,156,7
rembrant_crop/random_crop_new/pic1,116,144,7
rembrant_crop/random_crop_new/pic1,156,136,7
rembrant_crop/random_crop_new/pic1,52,168,7
rembrant_crop/random_crop_new/pic1,40,124,7
rembrant_crop/random_crop_new/pic1,172,112,7
rembrant_crop/random_crop_new/pic1,164,52,7
rembrant_crop/random_crop_new/pic1,112,148,7
rembrant_crop/random_crop_new/pic1,48,48,7
rembrant_crop/random_crop_new/pic1,108,156,7
rembrant_crop/random_crop_new/pic1,76,104,7
rembrant_crop/random_crop_new/pic1,100,176,7
rembrant_crop/random_crop_new/pic1,0,24,7
rembrant_crop/random_crop_new/pic1,64,20,7
rembrant_crop/random_crop_new/pic1,12,16,7
rembrant_crop/random_crop_new/pic1,32,88,7
rembrant_crop/random_crop_new/pic1,140,112,7
rembrant_crop/random_crop_new/pic1,136,176,7
rembrant_crop/random_crop_new/pic1,136,180,7
rembrant_crop/random_crop_new/pic1,64,100,7
rembrant_crop/random_crop_new/pic1,84,112,7
rembrant_crop/random_crop_new/pic1,64,152,7
rembrant_crop/random_crop_new/pic1,144,52,7
rembrant_crop/random_crop_new/pic1,156,156,7
rembrant_crop/random_crop_new/pic1,96,60,7
rembrant_crop/random_crop_new/pic1,160,12,7
rembrant_crop/random_crop_new/pic1,124,24,7
rembrant_crop/random_crop_new/pic1,168,128,7
rembrant_crop/random_crop_new/pic1,12,0,7
rembrant_crop/random_crop_new/pic1,128,4,7
rembrant_crop/random_crop_new/pic1,136,152,7
rembrant_crop/random_crop_new/pic1,32,136,7
rembrant_crop/random_crop_new/pic1,180,112,7
rembrant_crop/random_crop_new/pic1,0,88,7
rembrant_crop/random_crop_new/pic1,40,68,7
rembrant_crop/random_crop_new/pic1,120,176,7
rembrant_crop/random_crop_new/pic1,164,164,7
rembrant_crop/random_crop_new/pic1,128,176,7
rembrant_crop/random_crop_new/pic1,56,4,7
rembrant_crop/random_crop_new/pic1,8,60,7
rembrant_crop/random_crop_new/pic1,76,68,7
rembrant_crop/random_crop_new/pic1,8,48,7
rembrant_crop/random_crop_new/pic1,76,12,7
rembrant_crop/random_crop_new/pic1,88,100,7
rembrant_crop/random_crop_new/pic1,32,180,7
rembrant_crop/random_crop_new/pic1,0,148,7
rembrant_crop/random_crop_new/pic1,72,128,7
rembrant_crop/random_crop_new/pic1,148,116,7
rembrant_crop/random_crop_new/pic1,144,68,7
rembrant_crop/random_crop_new/pic1,72,52,7
rembrant_crop/random_crop_new/pic1,120,20,7
rembrant_crop/random_crop_new/pic1,136,68,7
rembrant_crop/random_crop_new/pic1,0,48,7
rembrant_crop/random_crop_new/pic1,112,104,7
rembrant_crop/random_crop_new/pic1,116,168,7
rembrant_crop/random_crop_new/pic1,84,60,7
rembrant_crop/random_crop_new/pic1,152,92,7
rembrant_crop/random_crop_new/pic1,28,100,7
rembrant_crop/random_crop_new/pic1,24,108,7
rembrant_crop/random_crop_new/pic1,92,80,7
rembrant_crop/random_crop_new/pic1,32,120,7
rembrant_crop/random_crop_new/pic1,108,20,7
rembrant_crop/random_crop_new/pic1,92,144,7
rembrant_crop/random_crop_new/pic1,72,68,7
rembrant_crop/random_crop_new/pic1,4,72,7
rembrant_crop/random_crop_new/pic1,116,156,7
rembrant_crop/random_crop_new/pic1,96,48,7
rembrant_crop/random_crop_new/pic1,128,128,7
rembrant_crop/random_crop_new/pic1,0,40,7
rembrant_crop/random_crop_new/pic1,108,16,7
rembrant_crop/random_crop_new/pic1,68,84,7
rembrant_crop/random_crop_new/pic1,116,92,7
rembrant_crop/random_crop_new/pic1,92,40,7
rembrant_crop/random_crop_new/pic1,112,132,7
rembrant_crop/random_crop_new/pic1,172,52,7
rembrant_crop/random_crop_new/pic1,132,104,7
rembrant_crop/random_crop_new/pic1,72,176,7
rembrant_crop/random_crop_new/pic1,44,20,7
rembrant_crop/random_crop_new/pic1,92,152,7
rembrant_crop/random_crop_new/pic1,112,20,7
rembrant_crop/random_crop_new/pic1,116,76,7
rembrant_crop/random_crop_new/pic1,176,152,7
rembrant_crop/random_crop_new/pic1,96,172,7
rembrant_crop/random_crop_new/pic1,144,152,7
rembrant_crop/random_crop_new/pic1,0,100,7
rembrant_crop/random_crop_new/pic1,72,64,7
rembrant_crop/random_crop_new/pic1,76,52,7
rembrant_crop/random_crop_new/pic1,8,80,7
rembrant_crop/random_crop_new/pic1,140,20,7
rembrant_crop/random_crop_new/pic1,44,52,7
rembrant_crop/random_crop_new/pic1,72,8,7
rembrant_crop/random_crop_new/pic1,48,140,7
rembrant_crop/random_crop_new/pic1,156,16,7
rembrant_crop/random_crop_new/pic1,76,108,7
rembrant_crop/random_crop_new/pic1,180,68,7
rembrant_crop/random_crop_new/pic1,16,164,7
rembrant_crop/random_crop_new/pic1,88,176,7
rembrant_crop/random_crop_new/pic1,152,84,7
rembrant_crop/random_crop_new/pic1,12,56,7
rembrant_crop/random_crop_new/pic1,16,160,7
rembrant_crop/random_crop_new/pic1,48,12,7
rembrant_crop/random_crop_new/pic1,24,56,7
rembrant_crop/random_crop_new/pic1,60,120,7
rembrant_crop/random_crop_new/pic1,104,0,7
rembrant_crop/random_crop_new/pic1,172,72,7
rembrant_crop/random_crop_new/pic1,176,12,7
rembrant_crop/random_crop_new/pic1,144,140,7
rembrant_crop/random_crop_new/pic1,60,156,7
rembrant_crop/random_crop_new/pic1,32,124,7
rembrant_crop/random_crop_new/pic1,108,140,7
rembrant_crop/random_crop_new/pic1,8,148,7
rembrant_crop/random_crop_new/pic1,172,96,7
rembrant_crop/random_crop_new/pic1,164,64,7
rembrant_crop/random_crop_new/pic1,124,128,7
rembrant_crop/random_crop_new/pic1,132,156,7
rembrant_crop/random_crop_new/pic1,164,20,7
rembrant_crop/random_crop_new/pic1,72,160,7
rembrant_crop/random_crop_new/pic1,4,8,7
rembrant_crop/random_crop_new/pic1,0,140,7
rembrant_crop/random_crop_new/pic1,120,136,7
rembrant_crop/random_crop_new/pic1,36,180,7
rembrant_crop/random_crop_new/pic1,160,152,7
rembrant_crop/random_crop_new/pic1,80,44,7
rembrant_crop/random_crop_new/pic1,168,52,7
rembrant_crop/random_crop_new/pic1,164,104,7
rembrant_crop/random_crop_new/pic1,156,32,7
rembrant_crop/random_crop_new/pic1,24,76,7
rembrant_crop/random_crop_new/pic1,164,116,7
rembrant_crop/random_crop_new/pic1,104,176,7
rembrant_crop/random_crop_new/pic1,24,48,7
rembrant_crop/random_crop_new/pic1,40,176,7
rembrant_crop/random_crop_new/pic1,12,40,7
rembrant_crop/random_crop_new/pic1,148,152,7
rembrant_crop/random_crop_new/pic1,20,4,7
rembrant_crop/random_crop_new/pic1,100,48,7
rembrant_crop/random_crop_new/pic1,116,152,7
rembrant_crop/random_crop_new/pic1,156,64,7
rembrant_crop/random_crop_new/pic1,180,32,7
rembrant_crop/random_crop_new/pic1,28,180,7
rembrant_crop/random_crop_new/pic1,4,0,7
rembrant_crop/random_crop_new/pic1,32,84,7
rembrant_crop/random_crop_new/pic1,40,148,7
rembrant_crop/random_crop_new/pic1,160,120,7
rembrant_crop/random_crop_new/pic1,84,0,7
rembrant_crop/random_crop_new/pic1,0,84,7
rembrant_crop/random_crop_new/pic1,76,136,7
rembrant_crop/random_crop_new/pic1,68,128,7
rembrant_crop/random_crop_new/pic1,52,112,7
rembrant_crop/random_crop_new/pic1,12,52,7
rembrant_crop/random_crop_new/pic1,88,52,7
rembrant_crop/random_crop_new/pic1,144,172,7
rembrant_crop/random_crop_new/pic1,76,180,7
rembrant_crop/random_crop_new/pic1,40,96,7
rembrant_crop/random_crop_new/pic1,28,80,7
rembrant_crop/random_crop_new/pic1,96,144,7
rembrant_crop/random_crop_new/pic1,180,8,7
rembrant_crop/random_crop_new/pic1,52,56,7
rembrant_crop/random_crop_new/pic1,156,108,7
rembrant_crop/random_crop_new/pic1,44,172,7
rembrant_crop/random_crop_new/pic1,144,60,7
rembrant_crop/random_crop_new/pic1,104,168,7
rembrant_crop/random_crop_new/pic1,156,104,7
rembrant_crop/random_crop_new/pic1,140,104,7
rembrant_crop/random_crop_new/pic1,140,84,7
rembrant_crop/random_crop_new/pic1,76,28,7
rembrant_crop/random_crop_new/pic1,176,176,7
rembrant_crop/random_crop_new/pic1,164,88,7
rembrant_crop/random_crop_new/pic1,132,72,7
rembrant_crop/random_crop_new/pic1,12,88,7
rembrant_crop/random_crop_new/pic1,28,132,7
rembrant_crop/random_crop_new/pic1,120,76,7
rembrant_crop/random_crop_new/pic1,60,164,7
rembrant_crop/random_crop_new/pic1,64,124,7
rembrant_crop/random_crop_new/pic1,52,0,7
rembrant_crop/random_crop_new/pic1,120,92,7
rembrant_crop/random_crop_new/pic1,76,76,7
rembrant_crop/random_crop_new/pic1,160,16,7
rembrant_crop/random_crop_new/pic1,180,52,7
rembrant_crop/random_crop_new/pic1,132,164,7
rembrant_crop/random_crop_new/pic1,112,72,7
rembrant_crop/random_crop_new/pic1,52,20,7
rembrant_crop/random_crop_new/pic1,76,124,7
rembrant_crop/random_crop_new/pic1,148,84,7
rembrant_crop/random_crop_new/pic1,92,132,7
rembrant_crop/random_crop_new/pic1,28,44,7
rembrant_crop/random_crop_new/pic1,60,84,7
rembrant_crop/random_crop_new/pic1,68,12,7
rembrant_crop/random_crop_new/pic1,8,104,7
